title,price
Hamburger con Contorno di Funghi,0
"Hamburger con Contorno Cicoria Ripassata, Aglio e Peperoncino","2,9"
Hamburger con Contorno di Peperoni,"6,5"
Polpette di Riso al Sugo,"4,9"
"Polpettine con Nutella, Mascarpone e Cocco","4,9"
Panino con Polpette al Sugo Piccante - Singolo,"5,7"
Panino con Polpette al Sugo Piccante – Menù,"5,7"
Panino con Spinacina,"7,9"
Panino con Petto di Pollo e Patate,"4,3"
Panino con Salsiccia e Patate,"8,99"
Panino con Salsiccia e Funghi,"6,4"
Panino con Polpette e Guanciale,"6,2"
Panino con Polpette e Cicoria,"5,7"
Super Panino dei Pirati,"6,9"
Hamburger con Salse,0
Doppio Hamburger con Guanciale e Salse,"6,4"
Mini Pizza Margherita,"7,7"
Mini Pizza Salsiccia e Patate,0
Mini Pizza Wustel e Patate,"5,99"
Mini Pizza alla Diavola,"6,88"
Mini Pizza Zucchine Mozzarella,0
Mini Pizza 4 Formaggi,"7,99"
Mini Pizza Marinara,"4,3"
Mini Pizza Boscaiola,0
Mini Pizza con Cozze,"4,9"
Mini Pizza Pirati dei Caraibi,"5,7"
Mini Pizza Amatriciana,"9,5"
Mini pizza Tonno e Cipolla,11
Mini Pizza con Zucchine e Peperoni,"7,9"
Mini Pizza con Polpettine Piccante,"6,5"
Calzone con Salame e Mozzarella,"6,5"
Calzone con Salsiccia e Patate,6
Calzone con Salsiccia e Funghi,"5,9"
Calzone Pirata,"6,3"
Calzone con Wurstel e Patate,0
Calzone con Carne Trita e Guanciale,"3,5"
Focaccia al Rosmarino,3
Focaccia Ripiena con Salsiccia e Patate,"11,5"
Focaccia Ripiena con Polpette e Guanciale,"11,5"
Focaccia con Polpettine al Sugo,"6,5"
Focaccia con Porchetta Ariccia,"5,2"
Fagiolini Conditi in Salsa di Limone,"7,5"
Zucchine Ripassate con Olio e Aglio,"0,5"
Funghi ripassati aglio e peperoncino,4
Cicoria ripassata,4
Patate al forno con aromi,"4,8"
Insalata di Pollo,6
Insalata Mista con Carote,0
Insalata con Mozzarella,"6,5"
Insalata con Tonno e Cipolla,6
"Insalatona con Uovo Sodo, Mozzarella, Tonno e Cipolla","1,5"
Fagioli alla Messicana con Carne Trita e Tabasco,"3,5"
Fagioli Pirata con Guanciale e Pomodoro Piccanti,0
Involtini Primavera,0
Hot Dog,"3,5"
Cannelloni ripieni con carne al sugo,"2,2"
Cannelloni ripieni con carne alla besciamella,"13,5"
Crocchette di Patate,12
"Crocchette di Patate con Parmigiano, Grana Padano e Aromi",10
Tacos con Carne e Spezie,10
Tacos con Pollo e Spezie,10
Tacos Salsiccia e Patate,10
Tacos Guanciale e Patate,10
Tacos con Polpettine,10
Posate,1
Bustina di Ketchup,1
Maionese,1
Vasetto Maionese,1
Vasetto Ketchup,1
Tiramisù,8
Crèpe con Impasto al Cocco,8
"Crèpe con Nutella, Cocco e Noci",8
Pancake con Nutella e Noci,8
Biscotti Caldi di Frolla con Cocco e Nutella,8
Focaccia con Nutella e Cocco,8
"Praline con Mascarpone, Cocco e Nutella",8
Acqua Naturale,"1,5"
Acqua Frizzante,"1,5"
Bibita in Lattina 33cl,"1,5"
"Bibita 1,5L - Coca Cola","1,5"
Succo di Frutta alla Pesca,"1,5"
Succo di Frutta Albicocca,"1,5"
"Bibita 1,5L",2
Peroni 500ml,"3,5"
Chianti Rosso DOC,"3,6"
Barbera Piemonte,20
Valpolicella,38
Montepulciano d'Abruzzo,39
